number,value,datetime_start,datetime_complete,duration,params_D,params_F1,params_batch_size,params_dropout,params_lr,params_weight_decay,state
41,0.5959498553519769,2025-07-12 10:07:14.848115,2025-07-12 10:11:00.708143,0 days 00:03:45.860028,8,16,32,0.16032225505168665,0.001148475636810084,0.0015008120485317487,COMPLETE
42,0.579556412729026,2025-07-12 10:11:00.734526,2025-07-12 10:13:33.876196,0 days 00:02:33.141670,8,16,32,0.22329339032990786,0.0009097664099297191,0.0016359210522846569,PRUNED
43,0.4098360655737705,2025-07-12 10:13:33.901102,2025-07-12 10:13:43.032299,0 days 00:00:09.131197,8,16,32,0.12913421228888006,0.00043200191602605357,0.0034632150977585187,PRUNED
44,0.4146576663452266,2025-07-12 10:13:43.048892,2025-07-12 10:13:52.190137,0 days 00:00:09.141245,8,16,32,0.16814072683676065,0.0018224131191901317,0.0007152164205684533,PRUNED
45,0.4156219864995178,2025-07-12 10:13:52.207560,2025-07-12 10:13:59.634232,0 days 00:00:07.426672,8,16,32,0.2103855830437682,0.0005740066879103593,2.630157336310407e-05,PRUNED
46,0.37319189971070393,2025-07-12 10:13:59.651537,2025-07-12 10:14:06.912457,0 days 00:00:07.260920,8,16,32,0.10740574077456855,0.00017458552416030636,0.008038190794526001,PRUNED
47,0.43105110896817744,2025-07-12 10:14:06.929708,2025-07-12 10:14:13.108597,0 days 00:00:06.178889,8,8,32,0.23632497816428205,0.0010348145339467124,0.00012468782953725302,PRUNED
48,0.29990356798457085,2025-07-12 10:14:13.126140,2025-07-12 10:14:27.683344,0 days 00:00:14.557204,2,32,32,0.18762550000612765,9.227427865469573e-05,0.0020928474901121667,PRUNED
49,0.36837029893924783,2025-07-12 10:14:27.701240,2025-07-12 10:14:46.046109,0 days 00:00:18.344869,8,32,16,0.15929324516665014,0.0014242814249179512,0.0027602003963511485,PRUNED
50,0.5159112825458052,2025-07-12 10:14:46.065662,2025-07-12 10:16:57.526013,0 days 00:02:11.460351,4,16,32,0.25463808623409745,0.0025133795256431953,4.848521395877287e-06,PRUNED
