number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
52,0.46190935390549664,2025-07-17 09:01:54.869446,2025-07-17 09:02:08.342214,0 days 00:00:13.472768,32,0.1486121203431095,0.0047017069944365825,1.3600319485663474e-05,PRUNED
53,0.46962391513982643,2025-07-17 09:02:08.360069,2025-07-17 09:02:28.526057,0 days 00:00:20.165988,32,0.22596784692192357,0.002433856397947205,5.682083778264842e-06,PRUNED
54,0.2806171648987464,2025-07-17 09:02:28.548552,2025-07-17 09:02:31.979265,0 days 00:00:03.430713,32,0.18050356675591972,0.009315496137791297,9.179526018307002e-05,PRUNED
55,0.3558341369334619,2025-07-17 09:02:31.999545,2025-07-17 09:02:38.818217,0 days 00:00:06.818672,32,0.3127795638107542,0.0065389154279290465,3.6746260224889926e-05,PRUNED
56,0.3076181292189007,2025-07-17 09:02:38.878606,2025-07-17 09:02:42.167673,0 days 00:00:03.289067,64,0.2804277471397453,0.0003704997106963109,2.9175375758713932e-06,PRUNED
57,0.4783027965284474,2025-07-17 09:02:42.187503,2025-07-17 09:03:02.384042,0 days 00:00:20.196539,32,0.2565297344407973,0.0035454222607071016,6.793399632117458e-05,PRUNED
58,0.549662487945998,2025-07-17 09:03:02.404859,2025-07-17 09:03:52.871882,0 days 00:00:50.467023,32,0.11212735203107332,0.001892728170752257,0.00011391382549667574,PRUNED
59,0.2700096432015429,2025-07-17 09:03:52.891544,2025-07-17 09:03:56.741587,0 days 00:00:03.850043,16,0.4730304913666643,0.000959974725368342,1.0204513558801136e-05,PRUNED
60,0.29604628736740596,2025-07-17 09:03:56.759394,2025-07-17 09:04:00.182969,0 days 00:00:03.423575,32,0.33321818124785685,0.0005333965614639911,1.249263145153559e-06,PRUNED
61,0.5419479267116682,2025-07-17 09:04:00.225860,2025-07-17 09:04:50.694074,0 days 00:00:50.468214,32,0.1613368875574345,0.00023009437947934695,2.092454940274424e-05,PRUNED
