number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
14,0.4918032786885246,2025-07-12 12:19:02.448895,2025-07-12 12:20:55.716832,0 days 00:01:53.267937,16,0.49605254860751935,0.008848794619983589,8.142030296642544e-06,PRUNED
15,0.5390549662487946,2025-07-12 12:20:55.743980,2025-07-12 12:22:49.286176,0 days 00:01:53.542196,16,0.4517764851962721,0.000634727136510595,1.5070545107822318e-05,COMPLETE
16,0.583413693346191,2025-07-12 12:22:49.310639,2025-07-12 12:25:52.154964,0 days 00:03:02.844325,16,0.14879186501641037,0.003284960425607505,2.334485861341159e-06,COMPLETE
17,0.5699132111861138,2025-07-12 12:25:52.180471,2025-07-12 12:28:36.560547,0 days 00:02:44.380076,16,0.2857392532737827,0.004167407227714372,1.3979511365475615e-06,COMPLETE
18,0.5274831243972999,2025-07-12 12:28:36.590087,2025-07-12 12:30:11.566160,0 days 00:01:34.976073,16,0.43976177743389566,0.0013606037937551577,3.746465511253191e-06,COMPLETE
19,0.3866923818707811,2025-07-12 12:30:11.590270,2025-07-12 12:30:22.566651,0 days 00:00:10.976381,16,0.16409155823463026,0.0003862859679475895,3.1819256282454034e-05,PRUNED
20,0.5689488910318226,2025-07-12 12:30:22.586816,2025-07-12 12:32:56.238098,0 days 00:02:33.651282,16,0.25109834023953664,0.004674222918054356,3.462437186643365e-06,COMPLETE
21,0.5756991321118612,2025-07-12 12:32:56.262174,2025-07-12 12:35:59.458267,0 days 00:03:03.196093,16,0.3059714030779987,0.004378350334722938,1.4426421314101905e-06,COMPLETE
22,0.4136933461909354,2025-07-12 12:35:59.483571,2025-07-12 12:36:17.887788,0 days 00:00:18.404217,16,0.33737070905261135,0.00570725977715096,5.545672254691748e-06,PRUNED
23,0.3741562198649952,2025-07-12 12:36:17.904428,2025-07-12 12:36:28.925904,0 days 00:00:11.021476,16,0.414235300826855,0.0026344974876107794,1.0692667742653314e-06,PRUNED
24,0.5699132111861138,2025-07-12 12:36:28.943141,2025-07-12 12:39:31.993583,0 days 00:03:03.050442,16,0.2649451662525361,0.001306182500745582,3.055024597544499e-06,COMPLETE
25,0.3095467695274831,2025-07-12 12:39:32.017038,2025-07-12 12:39:35.699083,0 days 00:00:03.682045,16,0.21059487277872724,0.006763821716304998,1.0284172147192826e-05,PRUNED
26,0.3114754098360656,2025-07-12 12:39:35.715956,2025-07-12 12:39:39.476105,0 days 00:00:03.760149,16,0.33105150550102613,0.000440696492131768,2.8300123737764948e-05,PRUNED
