subject_id,model_name,attack,norm,eps_z,smooth,adv_acc_worst,asr_worst,spearman_ig_worst,roi_share_clean_ig_worst,roi_share_adv_ig_worst
1,EEGNet,FGSM,Linf,0.0363886628571174,0.0,0.0034722222480922,0.9965277777519076,0.8572487295313382,0.0909837083301308,0.0977463187595412
1,EEGNet,FGSM,Linf,0.0727773257142349,0.0,0.0,1.0,0.8572487295313382,0.0909837083301308,0.0977463187595412
1,EEGNet,FGSM,Linf,0.1455546514284699,0.0,0.0,1.0,0.8572487295313382,0.0909837083301308,0.0977463187595412
1,EEGNet,FGSM,Linf,0.2911093028569398,0.0,0.0,1.0,0.8572487295313382,0.0909837083301308,0.0977463187595412
1,EEGNet,FGSM_LP,Linf,0.0363886628571174,1.0,0.4548611044883728,0.5451388955116272,0.9955798277809148,0.0909837083301308,0.0913963762210366
1,EEGNet,FGSM_LP,Linf,0.0727773257142349,1.0,0.125,0.875,0.9955798277809148,0.0909837083301308,0.0913963762210366
1,EEGNet,FGSM_LP,Linf,0.1455546514284699,1.0,0.0,1.0,0.9955798277809148,0.0909837083301308,0.0913963762210366
1,EEGNet,FGSM_LP,Linf,0.2911093028569398,1.0,0.0,1.0,0.9955798277809148,0.0909837083301308,0.0913963762210366
1,EEGNet,PGD,Linf,0.0363886628571174,0.0,0.0,1.0,0.8524756493506493,0.0909837083301308,0.0988605971062607
1,EEGNet,PGD,Linf,0.0727773257142349,0.0,0.0,1.0,0.8524756493506493,0.0909837083301308,0.0988605971062607
1,EEGNet,PGD,Linf,0.1455546514284699,0.0,0.0,1.0,0.8524756493506493,0.0909837083301308,0.0988605971062607
1,EEGNet,PGD,Linf,0.2911093028569398,0.0,0.0,1.0,0.8524756493506493,0.0909837083301308,0.0988605971062607
1,EEGNet,PGD_LP,Linf,0.0363886628571174,1.0,0.5277777910232544,0.4722222089767456,0.995800395256917,0.0909837083301308,0.0916731705704387
1,EEGNet,PGD_LP,Linf,0.0727773257142349,1.0,0.2916666567325592,0.7083333432674408,0.995800395256917,0.0909837083301308,0.0916731705704387
1,EEGNet,PGD_LP,Linf,0.1455546514284699,1.0,0.020833333954215,0.979166666045785,0.995800395256917,0.0909837083301308,0.0916731705704387
1,EEGNet,PGD_LP,Linf,0.2911093028569398,1.0,0.0,1.0,0.995800395256917,0.0909837083301308,0.0916731705704387
1,Mamba,DeepFool_L2,L2,,,0.0694444477558136,0.9305555522441864,0.8656920525127048,0.1430803340943404,0.1462865140411602
1,Mamba,FGSM,Linf,0.0363886628571174,0.0,0.020833333954215,0.979166666045785,0.7801824534161491,0.1430803340943404,0.151222325472732
1,Mamba,FGSM,Linf,0.0727773257142349,0.0,0.0,1.0,0.7801824534161491,0.1430803340943404,0.151222325472732
1,Mamba,FGSM,Linf,0.1455546514284699,0.0,0.0,1.0,0.7801824534161491,0.1430803340943404,0.151222325472732
1,Mamba,FGSM,Linf,0.2911093028569398,0.0,0.0,1.0,0.7801824534161491,0.1430803340943404,0.151222325472732
1,Mamba,FGSM_LP,Linf,0.0363886628571174,1.0,0.6145833134651184,0.3854166865348816,0.9957474590626764,0.1430803340943404,0.1433227440312089
1,Mamba,FGSM_LP,Linf,0.0727773257142349,1.0,0.2986111044883728,0.7013888955116272,0.9957474590626764,0.1430803340943404,0.1433227440312089
1,Mamba,FGSM_LP,Linf,0.1455546514284699,1.0,0.0243055559694767,0.9756944440305232,0.9957474590626764,0.1430803340943404,0.1433227440312089
1,Mamba,FGSM_LP,Linf,0.2911093028569398,1.0,0.0,1.0,0.9957474590626764,0.1430803340943404,0.1433227440312089
1,Mamba,PGD,Linf,0.0363886628571174,0.0,0.0,1.0,0.7827145680406551,0.1430803340943404,0.1522231613841702
1,Mamba,PGD,Linf,0.0727773257142349,0.0,0.0,1.0,0.7827145680406551,0.1430803340943404,0.1522231613841702
1,Mamba,PGD,Linf,0.1455546514284699,0.0,0.0,1.0,0.7827145680406551,0.1430803340943404,0.1522231613841702
1,Mamba,PGD,Linf,0.2911093028569398,0.0,0.0,1.0,0.7827145680406551,0.1430803340943404,0.1522231613841702
1,Mamba,PGD_LP,Linf,0.0363886628571174,1.0,0.6493055820465088,0.3506944179534912,0.9962150621118012,0.1430803340943404,0.1433627634162548
1,Mamba,PGD_LP,Linf,0.0727773257142349,1.0,0.5034722089767456,0.4965277910232544,0.9962150621118012,0.1430803340943404,0.1433627634162548
1,Mamba,PGD_LP,Linf,0.1455546514284699,1.0,0.1840277761220932,0.8159722238779068,0.9962150621118012,0.1430803340943404,0.1433627634162548
1,Mamba,PGD_LP,Linf,0.2911093028569398,1.0,0.0034722222480922,0.9965277777519076,0.9962150621118012,0.1430803340943404,0.1433627634162548
